Name,Genres,Studio,Type,Score,Score Rank,Num. of episodes,Popularity Rank
Fullmetal Alchemist: Brotherhood,"['action', 'adventure', 'drama', 'fantasy']",['bones'],tv,9.14,1,64,3
Spy x Family,"['action', 'comedy']","['wit studio', 'cloverworks']",tv,9.09,2,12,350
Shingeki no Kyojin Season 3 Part 2,"['action', 'drama']",['wit studio'],tv,9.08,3,10,32
Steins;Gate,"['drama', 'sci-fi', 'suspense']",['white fox'],tv,9.08,4,24,13
Gintama°,"['action', 'comedy', 'sci-fi']",['bandai namco pictures'],tv,9.08,5,51,335
Gintama',"['action', 'comedy', 'sci-fi']",['sunrise'],tv,9.05,6,51,385
Gintama: The Final,"['action', 'comedy', 'drama', 'sci-fi']",['bandai namco pictures'],movie,9.05,7,1,1746
Hunter x Hunter (2011),"['action', 'adventure', 'fantasy']",['madhouse'],tv,9.05,8,148,10
Fruits Basket: The Final,"['drama', 'romance', 'slice of life', 'supernatural']",['tms entertainment'],tv,9.04,9,13,551
Gintama': Enchousen,"['action', 'comedy', 'sci-fi']",['sunrise'],tv,9.04,10,13,695
Ginga Eiyuu Densetsu,"['drama', 'sci-fi']","['k-factory', 'kitty film mitaka studio']",ova,9.03,11,110,697
Gintama.,"['action', 'comedy', 'sci-fi']",['bandai namco pictures'],tv,8.99,12,12,735
Kaguya-sama wa Kokurasetai: Ultra Romantic,['comedy'],['a-1 pictures'],tv,8.97,13,0,433
3-gatsu no Lion 2nd Season,"['drama', 'slice of life']",['shaft'],tv,8.96,14,22,535
Koe no Katachi,['drama'],['kyoto animation'],movie,8.96,15,1,19
Gintama,"['action', 'comedy', 'sci-fi']",['sunrise'],tv,8.95,16,201,127
Violet Evergarden Movie,"['drama', 'fantasy', 'slice of life']",['kyoto animation'],movie,8.95,17,1,424
Clannad: After Story,"['comedy', 'drama', 'romance', 'slice of life', 'supernatural']",['kyoto animation'],tv,8.94,18,24,103
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"['action', 'comedy', 'sci-fi']",['sunrise'],movie,8.93,19,1,939
Code Geass: Hangyaku no Lelouch R2,"['action', 'drama', 'sci-fi']",['sunrise'],tv,8.91,20,25,47
Owarimonogatari 2nd Season,"['comedy', 'mystery', 'supernatural']",['shaft'],tv,8.9,21,7,538
Shingeki no Kyojin: The Final Season Part 2,"['action', 'drama']",['mappa'],tv,8.9,22,12,164
Kimetsu no Yaiba: Yuukaku-hen,"['action', 'fantasy']",['ufotable'],tv,8.89,23,11,161
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,"['action', 'comedy', 'sci-fi']",['bandai namco pictures'],tv,8.88,24,14,1194
Kimi no Na wa.,"['drama', 'supernatural']",['comix wave films'],movie,8.87,25,1,11
Shingeki no Kyojin: The Final Season,"['action', 'drama']",['mappa'],tv,8.85,26,16,46
Monster,"['drama', 'mystery', 'suspense']",['madhouse'],tv,8.83,27,74,156
Mob Psycho 100 II,"['action', 'comedy', 'supernatural']",['bones'],tv,8.81,28,13,85
Gintama.: Shirogane no Tamashii-hen,"['action', 'comedy', 'sci-fi']",['bandai namco pictures'],tv,8.81,29,12,1089
