Score,Score Rank,Num. of episodes,Genres_action,Genres_adventure,Genres_avant garde,Genres_award winning,Genres_boys love,Genres_comedy,Genres_drama,Genres_ecchi,Genres_fantasy,Genres_girls love,Genres_gourmet,Genres_horror,Genres_mystery,Genres_romance,Genres_sci-fi,Genres_slice of life,Genres_sports,Genres_supernatural,Genres_suspense,"Studio_""brains base""",Studio_10gauge,Studio_8bit,Studio_a-1 pictures,Studio_a.c.g.t.,Studio_actas,Studio_aic,Studio_aic asta,Studio_aic classic,Studio_aic spirits,Studio_ajia-do,Studio_animation do,Studio_anpro,Studio_appp,Studio_arms,Studio_artland,Studio_asahi production,Studio_ascension,Studio_asread.,Studio_axsiz,Studio_b&t,Studio_b.cmay pictures,Studio_bandai namco pictures,Studio_bee media,Studio_bee train,Studio_bestack,Studio_bibury animation studios,Studio_bigfirebird animation,Studio_bones,Studio_bridge,Studio_c-station,Studio_c2c,Studio_china literature limited,Studio_clap,Studio_cloverworks,Studio_code,Studio_colored pencil animation,Studio_comix wave films,Studio_connect,Studio_cygamespictures,Studio_daume,Studio_david production,Studio_digital frontier,Studio_diomedéa,Studio_djinn power,Studio_dle,Studio_dmm.futureworks,Studio_doga kobo,Studio_dongwoo a&e,Studio_e&g films,Studio_egg firm,Studio_encourage films,Studio_enishiya,Studio_ezόla,Studio_fanworks,Studio_feel.,Studio_felix film,Studio_filmony,Studio_flat studio,Studio_fuji tv,Studio_g&g entertainment,Studio_gaina,Studio_gainax,Studio_gallop,Studio_geek toys,Studio_geno studio,Studio_gohands,Studio_gonzo,Studio_graphinica,Studio_group tac,Studio_grouper productions,Studio_hal film maker,Studio_haoliners animation league,Studio_hololive production,Studio_hoods drifters studio,Studio_hoods entertainment,Studio_hornets,Studio_i.gzwei,Studio_imagin,Studio_imagineer,Studio_j.c.staff,Studio_jcf,Studio_k-factory,Studio_khara,Studio_kinema citrus,Studio_kitty film mitaka studio,Studio_kitty films,Studio_kyoto animation,Studio_lapin track,Studio_larx entertainment,Studio_lay-duce,Studio_lerche,Studio_lico,Studio_lidenfilms,Studio_lidenfilms kyoto studio,Studio_life work,Studio_light chaser animation studios,Studio_l²studio,Studio_m.s.c,Studio_madhouse,Studio_magic bus,Studio_manglobe,Studio_mappa,Studio_marvy jack,Studio_marza animation planet,Studio_mili pictures,Studio_millepensee,Studio_minami machi bugyousho,Studio_motion magic,Studio_mushi production,Studio_nakamura production,Studio_naz,Studio_nexus,Studio_nice boat animation,Studio_nippon animation,Studio_nippon ramayana film co.,Studio_nomad,Studio_nut,Studio_october media,Studio_odolttogi,Studio_oh! production,Studio_olm,Studio_orange,Studio_ordet,Studio_original force,Studio_p.a. works,Studio_p.i.c.s.,Studio_palm studio,Studio_paper plane animation studio,Studio_passione,Studio_pastel,Studio_phoenix entertainment,Studio_picture magic,Studio_pierrot plus,Studio_pine jam,Studio_planet cartoon,Studio_platinum vision,Studio_polygon pictures,Studio_production doa,Studio_production i.g,Studio_production ims,Studio_production reed,Studio_project no.9,Studio_purple cow studio japan,Studio_radix,Studio_red dog culture house,Studio_ruo hong culture,Studio_samsara animation studio,Studio_sanzigen,Studio_satelight,Studio_science saru,Studio_seven arcs,Studio_seven arcs pictures,Studio_shaft,Studio_shanghai foch film and tv culture investment,Studio_shin-ei animation,Studio_shirogumi,Studio_shuka,Studio_signal.md,Studio_silver link.,Studio_sparkly key animation studio,Studio_square enix,Studio_square enix visual works,Studio_studio 3hz,Studio_studio 4°c,Studio_studio bind,Studio_studio blanc,Studio_studio chizu,Studio_studio colorido,Studio_studio comet,Studio_studio daisy,Studio_studio deen,Studio_studio durian,Studio_studio ghibli,Studio_studio gokumi,Studio_studio hibari,Studio_studio junio,Studio_studio kafka,Studio_studio kai,Studio_studio lan,Studio_studio pastoral,Studio_studio pierrot,Studio_studio puyukai,Studio_studio rikka,Studio_studio signpost,Studio_studio voln,Studio_sublimation,Studio_sunrise,Studio_sunrise beyond,Studio_synergysp,Studio_tatsunoko production,Studio_telecom animation film,Studio_telescreen,Studio_tencent animation & comics,Studio_tezuka productions,Studio_the answer studio,Studio_tms entertainment,Studio_tnk,Studio_toei animation,Studio_tokyo kids,Studio_tokyo movie shinsha,Studio_topcraft,Studio_trans arts,Studio_triangle staff,Studio_trif studio,Studio_trigger,Studio_troyca,Studio_tyo animations,Studio_ufotable,Studio_visual 80,Studio_wan wei mao donghua,Studio_white fox,Studio_wit studio,Studio_wulifang digital,Studio_xebec,Studio_yaoyorozu,Studio_yokohama animation lab,Studio_yumeta company,Studio_zero-g,Studio_zexcs,Type_movie,Type_music,Type_ona,Type_ova,Type_special,Type_tv
9.14,1,64,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.09,2,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.08,3,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9.08,4,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.08,5,51,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.05,6,51,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.05,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9.05,8,148,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.04,9,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.04,10,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
